symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
C1orf141	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.9286265857694429	No data	0	255	No data	No data	0.5	0.5
APOBEC3A	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	1	0	No data	No data	-0.11825703254274678	No data	0	No data	No data	-0.6733675000000001	0.5	0
STXBP2	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.738615	No data	-0.16348593491450636	-0.5066334405948941	0	No data	No data	-0.08937500000000007	0.5	-1
TRIM48	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	No data	No data	0.7319360176503034	No data	No data	No data	No data	-0.69866	No data	No data
TOMM22	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.7183100000000003	No data	-0.7329288472145614	0	-1	No data	No data	No data	-1	-1
MYO9B	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.16782499999999984	No data	-0.7612796469939327	0	0	No data	No data	0	0.5	-1
DYNLRB2	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.8958350000000003	No data	0.7531163816878104	-0.703433653170333	0	No data	No data	-0.42708249999999987	0.75	0
AGPAT3	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.6143599999999999	No data	-0.9505791505791505	-0.3088500536343655	0	No data	No data	-0.035904999999999986	-1	-1
CDCA8	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	-0.044015444015443994	-0.1250770947412433	-1	No data	No data	No data	0.5	0
ST3GAL6	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	-0.009707666850524044	0	0	No data	No data	0	0.5	0
GPR180	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.3409100000000002	No data	0.5641478212906785	No data	0	No data	No data	0	-1	0
KCNJ4	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.9101100000000002	No data	-0.8978488692774407	No data	0	No data	No data	-0.08988750000000004	0.75	0.5
ACKR4	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.27143000000000017	No data	0.41224489795918373	-0.18937997970534304	0	No data	No data	0	0.5	0
MYO1G	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.5432200000000001	No data	-0.40518477661334806	-0.23165840818641592	0	No data	No data	0	0.5	0
TAF3	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.3003250000000001	No data	-0.9885273028130172	No data	0	No data	No data	0	-1	-1
CRYZL2P	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
