gene_symbol,association_score,disease
NDUFB3,0.607546616195584,Type 2 Diabetes
NDUFA8,0.6074542212319128,Type 2 Diabetes
NDUFB5,0.6074542212319128,Type 2 Diabetes
NDUFS7,0.6074542212319128,Type 2 Diabetes
NDUFB9,0.6074542212319128,Type 2 Diabetes
COXFA4L2,0.6070846413772282,Type 2 Diabetes
NDUFA9,0.6070846413772282,Type 2 Diabetes
NDUFB1,0.6070846413772282,Type 2 Diabetes
NDUFB11,0.6070846413772282,Type 2 Diabetes
NDUFA3,0.6070846413772282,Type 2 Diabetes
NDUFAF4,0.6070846413772282,Type 2 Diabetes
NDUFA7,0.6070846413772282,Type 2 Diabetes
NDUFC1,0.6070846413772282,Type 2 Diabetes
NDUFV2,0.6070846413772282,Type 2 Diabetes
NDUFV3,0.6070846413772282,Type 2 Diabetes
NDUFS6,0.6070846413772282,Type 2 Diabetes
MGAM,0.6047196470893594,Type 2 Diabetes
AMY2A,0.5997984923419163,Type 2 Diabetes
APOE,0.5924952601512928,Type 2 Diabetes
GAA,0.5818377173123381,Type 2 Diabetes
PAM,0.5754371880839976,Type 2 Diabetes
UBE2E2,0.5712073518044537,Type 2 Diabetes
MTNR1B,0.571199212002098,Type 2 Diabetes
SI,0.5693987967650281,Type 2 Diabetes
MGAM2,0.5684447247380215,Type 2 Diabetes
JAZF1,0.5678865466186642,Type 2 Diabetes
LPL,0.5655588402561879,Type 2 Diabetes
KSR2,0.5652714223322836,Type 2 Diabetes
GRP,0.5648167305980163,Type 2 Diabetes
CTRB1,0.5643570576136395,Type 2 Diabetes
PDX1,0.5611638814943927,Type 2 Diabetes
AGTR1,0.5594339548587529,Type 2 Diabetes
HMGA2,0.5589164032811953,Type 2 Diabetes
CTRB2,0.5588798034942782,Type 2 Diabetes
KL,0.5587488336100863,Type 2 Diabetes
FGFR4,0.5583151726855395,Type 2 Diabetes
IGF2BP2,0.5578368147774324,Type 2 Diabetes
LIPC,0.5574199764348928,Type 2 Diabetes
ANKH,0.5537890199191281,Type 2 Diabetes
RASGRP1,0.552572485135312,Type 2 Diabetes
GRB14,0.5520420897263872,Type 2 Diabetes
NR3C2,0.5507703839589632,Type 2 Diabetes
PROX1,0.5498679917457073,Type 2 Diabetes
SPRED2,0.5459600970318319,Type 2 Diabetes
TLE1,0.5445058128402233,Type 2 Diabetes
PNPLA3,0.5440304726112345,Type 2 Diabetes
ETS1,0.5421696972802327,Type 2 Diabetes
DGKB,0.5403423139038142,Type 2 Diabetes
SLC5A1,0.5403082484521671,Type 2 Diabetes
SLC22A3,0.5384690068066272,Type 2 Diabetes
TSPAN8,0.5377812780490349,Type 2 Diabetes
FGFR3,0.5372812573743941,Type 2 Diabetes
IRS1,0.5364704927865382,Type 2 Diabetes
KLF14,0.5351657174872283,Type 2 Diabetes
TRIM66,0.5350192085853139,Type 2 Diabetes
ATXN7,0.5346790323488717,Type 2 Diabetes
CCND2,0.5343806993553006,Type 2 Diabetes
TFAP2B,0.5341457504043571,Type 2 Diabetes
GLIS3,0.534016628465893,Type 2 Diabetes
NEUROG3,0.5339829422301949,Type 2 Diabetes
ACE,0.5328334245263747,Type 2 Diabetes
DRD2,0.5327239665050661,Type 2 Diabetes
MYO5C,0.5326331548272222,Type 2 Diabetes
TFRC,0.5322680119055077,Type 2 Diabetes
ADCY5,0.5319092568538434,Type 2 Diabetes
LEPR,0.5318021719110443,Type 2 Diabetes
WSCD2,0.5314203375650837,Type 2 Diabetes
HHEX,0.5304484036343086,Type 2 Diabetes
CDKN2B,0.5294348013021914,Type 2 Diabetes
GTF2I,0.5293130318717164,Type 2 Diabetes
JADE2,0.5291320004822337,Type 2 Diabetes
PPP1R3A,0.5280839677306426,Type 2 Diabetes
IRS2,0.5278812051883497,Type 2 Diabetes
HDAC9,0.5277411494853197,Type 2 Diabetes
NUS1,0.5272174313904163,Type 2 Diabetes
ABO,0.5272052886204954,Type 2 Diabetes
PSMD6,0.5271005855164937,Type 2 Diabetes
CRHR2,0.5266358077585966,Type 2 Diabetes
ADAMTS9,0.5239445274956043,Type 2 Diabetes
GP2,0.5235291484788168,Type 2 Diabetes
EYA2,0.521973230073164,Type 2 Diabetes
TP53INP1,0.5216327041490355,Type 2 Diabetes
CCND1,0.5214597705221845,Type 2 Diabetes
ANGPTL4,0.5211404168208172,Type 2 Diabetes
INS,0.5204439612306425,Type 2 Diabetes
SINHCAF,0.5198724970873673,Type 2 Diabetes
FAIM2,0.5181931918296891,Type 2 Diabetes
DRD4,0.5180308300959765,Type 2 Diabetes
ZMIZ1,0.5167269113948989,Type 2 Diabetes
PGM1,0.5166524391459913,Type 2 Diabetes
TET2,0.5161195131926097,Type 2 Diabetes
SLC1A2,0.5158185784891185,Type 2 Diabetes
FBRSL1,0.5155723964552542,Type 2 Diabetes
HMG20A,0.5154755117939191,Type 2 Diabetes
ZFHX3,0.515357963947657,Type 2 Diabetes
NKX6-3,0.5153550313998617,Type 2 Diabetes
CALCR,0.5149380147119005,Type 2 Diabetes
RNF6,0.5147768202642384,Type 2 Diabetes
BCL2L11,0.5147000385831212,Type 2 Diabetes
TENT5C,0.5146248614059772,Type 2 Diabetes
NFATC2,0.5144738621824732,Type 2 Diabetes
RSPO3,0.5143337535926247,Type 2 Diabetes
LRMDA,0.5142727359602486,Type 2 Diabetes
RREB1,0.513973696256256,Type 2 Diabetes
CEP68,0.5138477066320691,Type 2 Diabetes
SLC12A8,0.5134407769491208,Type 2 Diabetes
FTO,0.513105223781544,Type 2 Diabetes
DRD3,0.5118475665241627,Type 2 Diabetes
GPSM1,0.5115134564107016,Type 2 Diabetes
BEND3,0.5108726554937575,Type 2 Diabetes
MC4R,0.510763747036683,Type 2 Diabetes
ITGA1,0.5103800749495139,Type 2 Diabetes
BDNF,0.5103740850947738,Type 2 Diabetes
ETV1,0.509757901465538,Type 2 Diabetes
PEAK1,0.5080681892268507,Type 2 Diabetes
KCNK17,0.5078264844236324,Type 2 Diabetes
ARAP1,0.5071680474403286,Type 2 Diabetes
ARID5B,0.5068529476363187,Type 2 Diabetes
KCNK16,0.5063347248899892,Type 2 Diabetes
RGS17,0.5057855423882422,Type 2 Diabetes
AUTS2,0.5055294310058717,Type 2 Diabetes
BCL2,0.5045053531339904,Type 2 Diabetes
CMIP,0.5039938572353369,Type 2 Diabetes
ACVR1C,0.5038250538967461,Type 2 Diabetes
LEP,0.5011948550458808,Type 2 Diabetes
PLEKHA1,0.5003547782645501,Type 2 Diabetes
NLGN1,0.5003541179531248,Type 2 Diabetes
CDKN1B,0.5003360685514371,Type 2 Diabetes
SCTR,0.5001973915505248,Type 2 Diabetes
ONECUT1,0.4994057881856625,Type 2 Diabetes
FXYD2,0.4991619697503264,Type 2 Diabetes
PLXND1,0.4988278689475506,Type 2 Diabetes
CAMK2B,0.4986097091819677,Type 2 Diabetes
PABPC4,0.498089644286333,Type 2 Diabetes
MED23,0.4974621959720667,Type 2 Diabetes
ST6GAL1,0.4971367653624826,Type 2 Diabetes
PTEN,0.4965380712966283,Type 2 Diabetes
ZC3H4,0.4964458736246136,Type 2 Diabetes
HHIP,0.4955120850962562,Type 2 Diabetes
PDCD4,0.4939903129187284,Type 2 Diabetes
MBNL1,0.4935582715007489,Type 2 Diabetes
TRPS1,0.4931608586906165,Type 2 Diabetes
LAMA1,0.4917571933804115,Type 2 Diabetes
CNTN2,0.4907747570754072,Type 2 Diabetes
EBF2,0.4907743531340527,Type 2 Diabetes
PRC1,0.4907297097724581,Type 2 Diabetes
CDC123,0.4904215393634759,Type 2 Diabetes
LTBP3,0.4904101121943476,Type 2 Diabetes
INHBB,0.4900419829460368,Type 2 Diabetes
CTTNBP2,0.4895606124346159,Type 2 Diabetes
DNMT3A,0.4892305530757744,Type 2 Diabetes
NFAT5,0.4866042095677806,Type 2 Diabetes
IL13RA1,0.4862778309676785,Type 2 Diabetes
NHSL1,0.4858214282024276,Type 2 Diabetes
CENPW,0.4856264120683752,Type 2 Diabetes
FBXW7,0.484467803729282,Type 2 Diabetes
PCBD1,0.483687792896382,Type 2 Diabetes
POC5,0.4835570972676101,Type 2 Diabetes
ZZEF1,0.4821881166028673,Type 2 Diabetes
KLHL42,0.4807625277489806,Type 2 Diabetes
PTGFRN,0.4805220846348129,Type 2 Diabetes
CPA1,0.480064090634254,Type 2 Diabetes
ACSL1,0.4800066335212047,Type 2 Diabetes
LCORL,0.479192408299276,Type 2 Diabetes
CPNE4,0.478923134938698,Type 2 Diabetes
HMGA1,0.4787069353926375,Type 2 Diabetes
SSR1,0.478690196465145,Type 2 Diabetes
ATP5F1E,0.4783031095121404,Type 2 Diabetes
WDR11,0.4774797395081866,Type 2 Diabetes
GCKR,0.4773546111702419,Type 2 Diabetes
GPR26,0.4769916097579675,Type 2 Diabetes
KCNU1,0.4766402534842139,Type 2 Diabetes
GDAP1L1,0.4763048034379704,Type 2 Diabetes
PELO,0.4762836255958985,Type 2 Diabetes
OASL,0.4753658395858451,Type 2 Diabetes
FSCN3,0.4750198868597137,Type 2 Diabetes
JPH2,0.4746124457012332,Type 2 Diabetes
GRB10,0.4738100724992917,Type 2 Diabetes
THADA,0.473442511711327,Type 2 Diabetes
MOB1B,0.4729043663555079,Type 2 Diabetes
GRID1,0.4728807191049632,Type 2 Diabetes
JPH1,0.4726521673085803,Type 2 Diabetes
TCF4,0.4726030567260625,Type 2 Diabetes
PDE3A,0.4721869352861405,Type 2 Diabetes
OCIAD2,0.4708211399388092,Type 2 Diabetes
LONRF1,0.4704531137104941,Type 2 Diabetes
NLRC3,0.4702475596083983,Type 2 Diabetes
GIGYF1,0.4692939267403108,Type 2 Diabetes
TYK2,0.4691189268418959,Type 2 Diabetes
MRAS,0.4690781474348159,Type 2 Diabetes
P2RY12,0.4690392193258191,Type 2 Diabetes
UHRF1,0.4689219504109994,Type 2 Diabetes
UBE3C,0.4682056535782237,Type 2 Diabetes
ARG1,0.4681010642826787,Type 2 Diabetes
CASR,0.467590256172421,Type 2 Diabetes
SLCO6A1,0.4674380114527709,Type 2 Diabetes
NEGR1,0.4674094009451498,Type 2 Diabetes
TTN,0.4669548712276476,Type 2 Diabetes
HIVEP2,0.4667739245887184,Type 2 Diabetes
CDH7,0.4666427798458272,Type 2 Diabetes
UNC5C,0.4662008359041068,Type 2 Diabetes
DGKD,0.4661031844477684,Type 2 Diabetes
BPTF,0.4645603424008735,Type 2 Diabetes
SPHKAP,0.4636477770320155,Type 2 Diabetes
ANK1,0.4635487687179847,Type 2 Diabetes
ARPP21,0.4634219122219079,Type 2 Diabetes
ZHX3,0.463131153646273,Type 2 Diabetes
PML,0.4629256409910013,Type 2 Diabetes
P2RY1,0.4627638779190795,Type 2 Diabetes
PARP8,0.4624966976037701,Type 2 Diabetes
TMEM106B,0.4624840755583441,Type 2 Diabetes
CTBP1,0.4624670753383456,Type 2 Diabetes
MYC,0.4610248663120866,Type 2 Diabetes
SEC16B,0.4606414634891559,Type 2 Diabetes
CEP120,0.4606341579835876,Type 2 Diabetes
ZC3H11B,0.4604147233452683,Type 2 Diabetes
PCM1,0.4599013496169482,Type 2 Diabetes
NOTCH2,0.4598776043282826,Type 2 Diabetes
SLC16A11,0.4597615966890631,Type 2 Diabetes
ZBED3,0.4577454567255276,Type 2 Diabetes
SIX3,0.4572979260009404,Type 2 Diabetes
USP48,0.4572597661653391,Type 2 Diabetes
CDKN1C,0.456684836420571,Type 2 Diabetes
NKX6-1,0.4564487547705706,Type 2 Diabetes
MSRA,0.4564388862986218,Type 2 Diabetes
ERN1,0.4559656182809314,Type 2 Diabetes
RCCD1,0.4556091886032574,Type 2 Diabetes
LRFN2,0.4553572635198163,Type 2 Diabetes
ABCB10,0.4548496603924291,Type 2 Diabetes
TRAF3,0.4544453077869484,Type 2 Diabetes
BEND7,0.4541474546938998,Type 2 Diabetes
TSHZ3,0.4537602521860478,Type 2 Diabetes
MAML3,0.453664238788393,Type 2 Diabetes
RBMS1,0.4533319389301736,Type 2 Diabetes
ZNF236,0.4519657827049391,Type 2 Diabetes
EMSY,0.4517257678062154,Type 2 Diabetes
TRAF3IP2,0.45168338928066,Type 2 Diabetes
LTK,0.4500246037588917,Type 2 Diabetes
ADH1B,0.4497846784320233,Type 2 Diabetes
HMGB1,0.4494077121713422,Type 2 Diabetes
HEY2,0.4494000601702115,Type 2 Diabetes
LRRC1,0.4492831668149527,Type 2 Diabetes
ARL15,0.4488373712351896,Type 2 Diabetes
RALY,0.4487490842898857,Type 2 Diabetes
VPS13C,0.4486235704461612,Type 2 Diabetes
AOAH,0.4486206035972812,Type 2 Diabetes
PPP3CA,0.4482727574704897,Type 2 Diabetes
SHBG,0.4477500027952857,Type 2 Diabetes
AKAP6,0.4466946796287173,Type 2 Diabetes
SLC39A11,0.44659129139361,Type 2 Diabetes
KIF11,0.4464340807873757,Type 2 Diabetes
IL12B,0.4463664067717063,Type 2 Diabetes
STARD10,0.4463551548370128,Type 2 Diabetes
ANKDD1B,0.446050113995985,Type 2 Diabetes
WIPI1,0.4448963072964314,Type 2 Diabetes
DENND1A,0.4444202979039885,Type 2 Diabetes
STEAP1,0.4444164626435221,Type 2 Diabetes
TSHZ2,0.443182614539551,Type 2 Diabetes
LINGO2,0.4430466470046437,Type 2 Diabetes
PRIM1,0.4429009327537901,Type 2 Diabetes
SHQ1,0.4425758197283353,Type 2 Diabetes
KCNH7,0.4425682169239491,Type 2 Diabetes
GRM4,0.4425147111042485,Type 2 Diabetes
SMARCAD1,0.4424274753693829,Type 2 Diabetes
