gene_symbol,molecule_chembl_id,action_type,mechanism_of_action
SLC5A2,CHEMBL450044,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL4297431,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL2018096,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL4297452,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL5315054,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
HMGCR,CHEMBL503,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL1200563,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL1237061,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL2218894,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL1744447,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL690,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL393220,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL1064,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL3989923,INHIBITOR,HMG-CoA reductase inhibitor
HMGCR,CHEMBL3989920,INHIBITOR,HMG-CoA reductase inhibitor
PPARA,CHEMBL1201745,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL457,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL672,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL565,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL981,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL3545093,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL5314385,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL424133,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL3545394,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL219586,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL3545334,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL181954,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL3545412,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL592054,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL519504,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL186179,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL282686,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL557555,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL247951,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL4297530,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL3707395,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
PPARA,CHEMBL4297404,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
MGAM,CHEMBL1561,INHIBITOR,Maltase-glucoamylase inhibitor
MGAM,CHEMBL404271,INHIBITOR,Maltase-glucoamylase inhibitor
AMY2A,CHEMBL404271,INHIBITOR,Pancreatic alpha-amylase inhibitor
GAA,CHEMBL1561,INHIBITOR,Lysosomal alpha-glucosidase inhibitor
GAA,CHEMBL460785,STABILISER,Lysosomal alpha-glucosidase stabiliser
AGTR1,CHEMBL2103795,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL995,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1513,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1069,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1200670,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1200692,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1014,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1200987,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1017,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL539423,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL41194,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1516,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL57242,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL432162,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL1016,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL3989932,AGONIST,Type-1 angiotensin II receptor agonist
AGTR1,CHEMBL1951143,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL4297447,ANTAGONIST,Type-1 angiotensin II receptor antagonist
AGTR1,CHEMBL6068339,ANTAGONIST,Type-1 angiotensin II receptor antagonist
FGFR4,CHEMBL3908979,INHIBITOR,Fibroblast growth factor receptor 4 inhibitor
NR3C2,CHEMBL1095097,ANTAGONIST,Mineralocorticoid receptor antagonist
