action_type,binding_site_comment,direct_interaction,disease_efficacy,max_phase,mec_id,mechanism_comment,mechanism_of_action,mechanism_refs,molecular_mechanism,molecule_chembl_id,parent_molecule_chembl_id,record_id,selectivity_comment,site_id,target_chembl_id,variant_sequence,gene_symbol
AGONIST,,1,1,3,5226,Development discontinued after Ph3 in 2005 due to abnormalities in liver enzyme tests (http://www.firstwordpharma.com/node/218757#axzz3OLRFCbFS3).,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '15219816', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/15219816'}, {'ref_id': '17884441', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/17884441'}, {'ref_id': '23721199', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/23721199'}]",1,CHEMBL592054,CHEMBL592054,2473520,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,5228,Development stopped due to safety concerns and lack of efficacy (http://www.roche.com/media/media_releases/med-cor-2013-07-10.htm),Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '1438286', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/1438286'}, {'ref_id': 'Aleglitazar', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Aleglitazar'}]",1,CHEMBL519504,CHEMBL519504,1699743,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,5230,Discontinueddue to safety concerns,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '23594962', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/23594962'}, {'ref_id': '23721199', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/23721199'}, {'ref_id': 'Muraglitazar', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Muraglitazar'}]",1,CHEMBL186179,CHEMBL186179,1705437,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,5232,"All Ph3 trials terminated, discontinued due to safety concerns (http://en.wikipedia.org/wiki/Tesaglitazar)",Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '15059948', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/15059948'}, {'ref_id': '16628256', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/16628256'}, {'ref_id': 'Tesaglitazar', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Tesaglitazar'}]",1,CHEMBL282686,CHEMBL282686,1706224,,,CHEMBL235,,PPARG
PARTIAL AGONIST,,1,1,3,5233,Discontinueddue to safety concerns,Peroxisome proliferator-activated receptor gamma partial agonist,"[{'ref_id': '22404217', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/22404217'}]",1,CHEMBL2103991,CHEMBL2103991,2472764,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,5234,"Development discontinued in 2009, not sufficiently differentiate from existing product",Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'http://www.daiichisankyo.com/media_investors/investor_relations/ir_calendar/files/005139/imm2009_07_31_22_01.pdf', 'ref_type': 'Other', 'ref_url': 'http://www.daiichisankyo.com/media_investors/investor_relations/ir_calendar/files/005139/imm2009_07_31_22_01.pdf'}, {'ref_id': '21492364', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/21492364'}, {'ref_id': '23686684', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/23686684'}, {'ref_id': 'Rivoglitazone', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Rivoglitazone'}]",1,CHEMBL2104753,CHEMBL2104753,1701182,,,CHEMBL235,,PPARG
ANTAGONIST,,1,1,3,5235,"Ph3 study terminated, safety and efficacy to be re-evaluated in new Ph2 study in 2014/2015. Activates KEAP1-Nrf2 pathway (http://en.wikipedia.org/wiki/Bardoxolone_methyl, http://www.kyowa-kirin.com/news_releases/2014/e20140702_01.html)",Peroxisome proliferator-activated receptor gamma antagonist,"[{'ref_id': '11043571', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/11043571'}, {'ref_id': '3542979', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/3542979'}]",1,CHEMBL1762621,CHEMBL1762621,1702475,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,8063,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '15120604', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/15120604'}]",1,CHEMBL4297404,CHEMBL4297404,3132972,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,8120,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '25926748', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/25926748'}, {'ref_id': '26171220', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/26171220'}, {'ref_id': '33273703', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/33273703'}]",1,CHEMBL4297530,CHEMBL4297530,3133108,,,CHEMBL235,,PPARG
AGONIST,,1,1,3,8945,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '34078742', 'ref_type': 'PubMed', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/34078742/'}]",1,CHEMBL1267,CHEMBL1267,3132704,,,CHEMBL235,,PPARG
AGONIST,,1,1,4,9861,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '14642684', 'ref_type': 'PubMed', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/14642684/'}]",1,CHEMBL121,CHEMBL121,2794668,,,CHEMBL235,,PPARG
